index,0.5,0.0,-0.5,-1.0,-1.5,-2.0
a0,-0.00040649,-0.00012519,0.00146598,0.00310176,0.00178301,0.00347541
a1,0.02201107,0.0078454,-0.07755346,-0.16599581,-0.10097367,-0.19533631
a2,-0.53584529,-0.21748115,1.81988763,3.95599735,2.55159151,4.91218105
a3,7.71819545,3.51211846,-24.92469696,-55.26068041,-37.86733323,-72.76943621
a4,-72.73380273,-36.57293457,220.42857822,500.78633897,365.25143612,703.07881771
a5,467.44639853,256.34055259,-1314.03516595,-3074.48954479,-2390.71633308,-4627.5238635
a6,-2068.15240646,-1222.75744693,5342.0616811,12941.4226579,10744.47734156,21001.99504583
a7,6195.58926162,3911.07181475,-14610.7069153,-36853.60964258,-32708.23330384,-64860.25684553
a8,-11974.23388894,-8006.03634751,25709.99828216,67904.49353639,64484.7410156,130354.38776913
a9,13415.75623013,9434.30696233,-26282.18821162,-73066.70829133,-74291.66102743,-153847.41764987
a10,-6560.15632486,-4813.79580737,11888.33523276,34885.97204938,37987.71525406,80946.61045694
